127.0.0.1 - - [29/Dec/2020:12:21:35 +0700] "GET / HTTP/1.1" 404 706
192.168.1.100 - - [29/Dec/2020:14:59:38 +0700] "POST /SkripsiBackEnd/UserService/userdata HTTP/1.1" 200 316
192.168.1.100 - - [29/Dec/2020:14:59:38 +0700] "POST /SkripsiBackEnd/UserService/userdata HTTP/1.1" 200 316
192.168.1.100 - - [29/Dec/2020:14:59:39 +0700] "POST /SkripsiBackEnd/RestaurantService/restaurantlistbyuser HTTP/1.1" 200 314500
192.168.1.100 - - [29/Dec/2020:14:59:39 +0700] "POST /SkripsiBackEnd/RestaurantService/restaurantlistbyuser HTTP/1.1" 200 314500
192.168.1.100 - - [29/Dec/2020:14:59:39 +0700] "POST /SkripsiBackEnd/OrderService/ordernumbersbyuser HTTP/1.1" 200 105
192.168.1.100 - - [29/Dec/2020:14:59:39 +0700] "POST /SkripsiBackEnd/OrderService/ordernumbersbyuser HTTP/1.1" 200 105
192.168.1.100 - - [29/Dec/2020:14:59:39 +0700] "POST /SkripsiBackEnd/UtilityService/getvalue HTTP/1.1" 200 18490
192.168.1.100 - - [29/Dec/2020:14:59:39 +0700] "POST /SkripsiBackEnd/UtilityService/getvalue HTTP/1.1" 200 18490
192.168.1.100 - - [29/Dec/2020:15:35:43 +0700] "POST /SkripsiBackEnd/UserService/userdata HTTP/1.1" 200 316
192.168.1.100 - - [29/Dec/2020:15:35:43 +0700] "POST /SkripsiBackEnd/RestaurantService/restaurantlistbyuser HTTP/1.1" 200 314500
192.168.1.100 - - [29/Dec/2020:15:35:43 +0700] "POST /SkripsiBackEnd/OrderService/ordernumbersbyuser HTTP/1.1" 200 105
192.168.1.100 - - [29/Dec/2020:15:35:43 +0700] "POST /SkripsiBackEnd/UtilityService/getvalue HTTP/1.1" 200 18490
192.168.1.100 - - [29/Dec/2020:15:35:45 +0700] "POST /SkripsiBackEnd/UserService/userdata HTTP/1.1" 200 316
192.168.1.100 - - [29/Dec/2020:15:35:45 +0700] "POST /SkripsiBackEnd/RestaurantService/restaurantlistbyuser HTTP/1.1" 200 314500
192.168.1.100 - - [29/Dec/2020:15:35:45 +0700] "POST /SkripsiBackEnd/OrderService/ordernumbersbyuser HTTP/1.1" 200 105
192.168.1.100 - - [29/Dec/2020:15:35:45 +0700] "POST /SkripsiBackEnd/UtilityService/getvalue HTTP/1.1" 200 18490
192.168.1.100 - - [29/Dec/2020:15:35:47 +0700] "POST /SkripsiBackEnd/UserService/userdata HTTP/1.1" 200 316
192.168.1.100 - - [29/Dec/2020:15:35:47 +0700] "POST /SkripsiBackEnd/RestaurantService/restaurantlistbyuser HTTP/1.1" 200 314500
192.168.1.100 - - [29/Dec/2020:15:35:47 +0700] "POST /SkripsiBackEnd/OrderService/ordernumbersbyuser HTTP/1.1" 200 105
192.168.1.100 - - [29/Dec/2020:15:35:47 +0700] "POST /SkripsiBackEnd/UtilityService/getvalue HTTP/1.1" 200 18490
192.168.1.100 - - [29/Dec/2020:15:35:48 +0700] "POST /SkripsiBackEnd/RestaurantService/restaurantdetail HTTP/1.1" 200 420042
192.168.1.100 - - [29/Dec/2020:15:35:48 +0700] "POST /SkripsiBackEnd/UtilityService/getvalue HTTP/1.1" 200 18490
192.168.1.100 - - [29/Dec/2020:15:35:49 +0700] "POST /SkripsiBackEnd/UserService/userdata HTTP/1.1" 200 316
192.168.1.100 - - [29/Dec/2020:15:35:50 +0700] "POST /SkripsiBackEnd/RestaurantService/restaurantlistbyuser HTTP/1.1" 200 314500
192.168.1.100 - - [29/Dec/2020:15:35:50 +0700] "POST /SkripsiBackEnd/OrderService/ordernumbersbyuser HTTP/1.1" 200 105
192.168.1.100 - - [29/Dec/2020:15:35:50 +0700] "POST /SkripsiBackEnd/UtilityService/getvalue HTTP/1.1" 200 18490
