127.0.0.1 - - [30/Dec/2020:13:20:09 +0700] "GET / HTTP/1.1" 404 706
192.168.1.100 - - [30/Dec/2020:13:32:17 +0700] "POST /SkripsiBackEnd/UserService/userdata HTTP/1.1" 200 316
192.168.1.100 - - [30/Dec/2020:13:32:58 +0700] "POST /SkripsiBackEnd/UtilityService/getvalue HTTP/1.1" 200 18490
192.168.1.100 - - [30/Dec/2020:13:32:59 +0700] "POST /SkripsiBackEnd/RestaurantService/getlist HTTP/1.1" 200 292864
192.168.1.100 - - [30/Dec/2020:13:33:04 +0700] "POST /SkripsiBackEnd/UserService/userdata HTTP/1.1" 200 316
192.168.1.100 - - [30/Dec/2020:13:33:05 +0700] "POST /SkripsiBackEnd/RestaurantService/restaurantlistbyuser HTTP/1.1" 200 253579
192.168.1.100 - - [30/Dec/2020:13:33:05 +0700] "POST /SkripsiBackEnd/OrderService/ordernumbersbyuser HTTP/1.1" 200 105
192.168.1.100 - - [30/Dec/2020:13:33:05 +0700] "POST /SkripsiBackEnd/UtilityService/getvalue HTTP/1.1" 200 18490
192.168.1.100 - - [30/Dec/2020:13:37:59 +0700] "POST /SkripsiBackEnd/RestaurantService/restaurantdetail HTTP/1.1" 200 95453
192.168.1.100 - - [30/Dec/2020:13:37:59 +0700] "POST /SkripsiBackEnd/UserService/userdata HTTP/1.1" 200 316
192.168.1.100 - - [30/Dec/2020:13:37:59 +0700] "POST /SkripsiBackEnd/UtilityService/getvalue HTTP/1.1" 200 18490
192.168.1.100 - - [30/Dec/2020:13:37:59 +0700] "POST /SkripsiBackEnd/RestaurantService/restaurantlistbyuser HTTP/1.1" 200 253579
192.168.1.100 - - [30/Dec/2020:13:37:59 +0700] "POST /SkripsiBackEnd/OrderService/ordernumbersbyuser HTTP/1.1" 200 105
192.168.1.100 - - [30/Dec/2020:13:37:59 +0700] "POST /SkripsiBackEnd/UtilityService/getvalue HTTP/1.1" 200 18490
192.168.1.100 - - [30/Dec/2020:13:38:02 +0700] "POST /SkripsiBackEnd/RestaurantCommentService/commentlist HTTP/1.1" 200 115
192.168.1.100 - - [30/Dec/2020:13:38:04 +0700] "POST /SkripsiBackEnd/RestaurantService/restaurantrating HTTP/1.1" 200 151
192.168.1.100 - - [30/Dec/2020:13:38:04 +0700] "POST /SkripsiBackEnd/RestaurantService/restaurantratingbyuser HTTP/1.1" 200 106
192.168.1.100 - - [30/Dec/2020:13:38:07 +0700] "POST /SkripsiBackEnd/RestaurantCommentService/commentlist HTTP/1.1" 200 115
192.168.1.100 - - [30/Dec/2020:13:39:34 +0700] "POST /SkripsiBackEnd/RestaurantCommentService/insertcomment HTTP/1.1" 200 89
192.168.1.100 - - [30/Dec/2020:13:39:34 +0700] "POST /SkripsiBackEnd/RestaurantCommentService/commentlist HTTP/1.1" 200 490
192.168.1.100 - - [30/Dec/2020:13:40:08 +0700] "POST /SkripsiBackEnd/UserService/userdata HTTP/1.1" 200 316
192.168.1.100 - - [30/Dec/2020:13:40:08 +0700] "POST /SkripsiBackEnd/RestaurantService/restaurantlistbyuser HTTP/1.1" 200 253579
192.168.1.100 - - [30/Dec/2020:13:40:08 +0700] "POST /SkripsiBackEnd/OrderService/ordernumbersbyuser HTTP/1.1" 200 105
192.168.1.100 - - [30/Dec/2020:13:40:08 +0700] "POST /SkripsiBackEnd/UtilityService/getvalue HTTP/1.1" 200 18490
192.168.1.100 - - [30/Dec/2020:13:58:01 +0700] "POST /SkripsiBackEnd/UserService/userdata HTTP/1.1" 200 316
192.168.1.100 - - [30/Dec/2020:13:58:01 +0700] "POST /SkripsiBackEnd/OrderService/getlistordercustomer HTTP/1.1" 200 105
192.168.1.100 - - [30/Dec/2020:13:58:01 +0700] "POST /SkripsiBackEnd/UtilityService/getvalue HTTP/1.1" 200 18490
192.168.1.100 - - [30/Dec/2020:13:58:01 +0700] "POST /SkripsiBackEnd/UserService/userdata HTTP/1.1" 200 316
192.168.1.100 - - [30/Dec/2020:13:58:01 +0700] "POST /SkripsiBackEnd/RestaurantService/restaurantlistbyuser HTTP/1.1" 200 253579
192.168.1.100 - - [30/Dec/2020:13:58:01 +0700] "POST /SkripsiBackEnd/OrderService/ordernumbersbyuser HTTP/1.1" 200 105
192.168.1.100 - - [30/Dec/2020:13:58:01 +0700] "POST /SkripsiBackEnd/UtilityService/getvalue HTTP/1.1" 200 18490
192.168.1.100 - - [30/Dec/2020:13:58:07 +0700] "POST /SkripsiBackEnd/UserService/userdata HTTP/1.1" 200 316
192.168.1.100 - - [30/Dec/2020:13:58:07 +0700] "POST /SkripsiBackEnd/RestaurantService/restaurantlistbyuser HTTP/1.1" 200 253579
192.168.1.100 - - [30/Dec/2020:13:58:07 +0700] "POST /SkripsiBackEnd/OrderService/ordernumbersbyuser HTTP/1.1" 200 105
192.168.1.100 - - [30/Dec/2020:13:58:07 +0700] "POST /SkripsiBackEnd/UtilityService/getvalue HTTP/1.1" 200 18490
192.168.1.100 - - [30/Dec/2020:13:58:08 +0700] "POST /SkripsiBackEnd/UtilityService/getvalue HTTP/1.1" 200 18490
