192.168.1.100 - - [18/Dec/2020:12:08:28 +0700] "POST /SkripsiBackEnd/UserService/userdata HTTP/1.1" 200 316
192.168.1.100 - - [18/Dec/2020:12:08:28 +0700] "POST /SkripsiBackEnd/RestaurantService/restaurantlistbyuser HTTP/1.1" 200 314500
192.168.1.100 - - [18/Dec/2020:12:08:28 +0700] "POST /SkripsiBackEnd/OrderService/ordernumbersbyuser HTTP/1.1" 200 105
192.168.1.100 - - [18/Dec/2020:12:08:28 +0700] "POST /SkripsiBackEnd/UtilityService/getvalue HTTP/1.1" 200 18490
192.168.1.100 - - [18/Dec/2020:12:08:53 +0700] "POST /SkripsiBackEnd/UserService/userdata HTTP/1.1" 200 316
192.168.1.100 - - [18/Dec/2020:12:08:53 +0700] "POST /SkripsiBackEnd/RestaurantService/restaurantlistbyuser HTTP/1.1" 200 314500
192.168.1.100 - - [18/Dec/2020:12:08:54 +0700] "POST /SkripsiBackEnd/OrderService/ordernumbersbyuser HTTP/1.1" 200 105
192.168.1.100 - - [18/Dec/2020:12:08:54 +0700] "POST /SkripsiBackEnd/UtilityService/getvalue HTTP/1.1" 200 18490
192.168.1.100 - - [18/Dec/2020:12:09:10 +0700] "POST /SkripsiBackEnd/UserService/userdata HTTP/1.1" 200 316
192.168.1.100 - - [18/Dec/2020:12:09:10 +0700] "POST /SkripsiBackEnd/RestaurantService/restaurantlistbyuser HTTP/1.1" 200 314500
192.168.1.100 - - [18/Dec/2020:12:09:11 +0700] "POST /SkripsiBackEnd/OrderService/ordernumbersbyuser HTTP/1.1" 200 105
192.168.1.100 - - [18/Dec/2020:12:09:11 +0700] "POST /SkripsiBackEnd/UtilityService/getvalue HTTP/1.1" 200 18490
192.168.1.100 - - [18/Dec/2020:12:09:28 +0700] "POST /SkripsiBackEnd/UserService/userdata HTTP/1.1" 200 316
192.168.1.100 - - [18/Dec/2020:12:09:28 +0700] "POST /SkripsiBackEnd/RestaurantService/restaurantlistbyuser HTTP/1.1" 200 314500
192.168.1.100 - - [18/Dec/2020:12:09:28 +0700] "POST /SkripsiBackEnd/OrderService/ordernumbersbyuser HTTP/1.1" 200 105
192.168.1.100 - - [18/Dec/2020:12:09:28 +0700] "POST /SkripsiBackEnd/UtilityService/getvalue HTTP/1.1" 200 18490
192.168.1.100 - - [18/Dec/2020:12:10:19 +0700] "POST /SkripsiBackEnd/UserService/userdata HTTP/1.1" 200 316
192.168.1.100 - - [18/Dec/2020:12:10:19 +0700] "POST /SkripsiBackEnd/RestaurantService/restaurantlistbyuser HTTP/1.1" 200 314500
192.168.1.100 - - [18/Dec/2020:12:10:19 +0700] "POST /SkripsiBackEnd/OrderService/ordernumbersbyuser HTTP/1.1" 200 105
192.168.1.100 - - [18/Dec/2020:12:10:19 +0700] "POST /SkripsiBackEnd/UtilityService/getvalue HTTP/1.1" 200 18490
192.168.1.100 - - [18/Dec/2020:12:10:22 +0700] "POST /SkripsiBackEnd/UserService/userdata HTTP/1.1" 200 316
192.168.1.100 - - [18/Dec/2020:12:10:22 +0700] "POST /SkripsiBackEnd/RestaurantService/restaurantlistbyuser HTTP/1.1" 200 314500
192.168.1.100 - - [18/Dec/2020:12:10:23 +0700] "POST /SkripsiBackEnd/OrderService/ordernumbersbyuser HTTP/1.1" 200 105
192.168.1.100 - - [18/Dec/2020:12:10:23 +0700] "POST /SkripsiBackEnd/UtilityService/getvalue HTTP/1.1" 200 18490
192.168.1.100 - - [18/Dec/2020:12:10:40 +0700] "POST /SkripsiBackEnd/UserService/userdata HTTP/1.1" 200 316
192.168.1.100 - - [18/Dec/2020:12:10:40 +0700] "POST /SkripsiBackEnd/RestaurantService/restaurantlistbyuser HTTP/1.1" 200 314500
192.168.1.100 - - [18/Dec/2020:12:10:40 +0700] "POST /SkripsiBackEnd/OrderService/ordernumbersbyuser HTTP/1.1" 200 105
192.168.1.100 - - [18/Dec/2020:12:10:40 +0700] "POST /SkripsiBackEnd/UtilityService/getvalue HTTP/1.1" 200 18490
192.168.1.100 - - [18/Dec/2020:13:30:53 +0700] "POST /SkripsiBackEnd/UserService/userdata HTTP/1.1" 200 316
192.168.1.100 - - [18/Dec/2020:13:30:54 +0700] "POST /SkripsiBackEnd/RestaurantService/restaurantlistbyuser HTTP/1.1" 200 314500
192.168.1.100 - - [18/Dec/2020:13:30:54 +0700] "POST /SkripsiBackEnd/OrderService/ordernumbersbyuser HTTP/1.1" 200 105
192.168.1.100 - - [18/Dec/2020:13:30:54 +0700] "POST /SkripsiBackEnd/UtilityService/getvalue HTTP/1.1" 200 18490
192.168.1.100 - - [18/Dec/2020:13:31:17 +0700] "POST /SkripsiBackEnd/UserService/userdata HTTP/1.1" 200 316
192.168.1.100 - - [18/Dec/2020:13:31:17 +0700] "POST /SkripsiBackEnd/RestaurantService/restaurantlistbyuser HTTP/1.1" 200 314500
192.168.1.100 - - [18/Dec/2020:13:31:17 +0700] "POST /SkripsiBackEnd/OrderService/ordernumbersbyuser HTTP/1.1" 200 105
192.168.1.100 - - [18/Dec/2020:13:31:17 +0700] "POST /SkripsiBackEnd/UtilityService/getvalue HTTP/1.1" 200 18490
192.168.1.100 - - [18/Dec/2020:13:32:50 +0700] "POST /SkripsiBackEnd/UserService/userdata HTTP/1.1" 200 316
192.168.1.100 - - [18/Dec/2020:13:32:50 +0700] "POST /SkripsiBackEnd/RestaurantService/restaurantlistbyuser HTTP/1.1" 200 314500
192.168.1.100 - - [18/Dec/2020:13:32:50 +0700] "POST /SkripsiBackEnd/OrderService/ordernumbersbyuser HTTP/1.1" 200 105
192.168.1.100 - - [18/Dec/2020:13:32:50 +0700] "POST /SkripsiBackEnd/UtilityService/getvalue HTTP/1.1" 200 18490
192.168.1.100 - - [18/Dec/2020:13:33:31 +0700] "POST /SkripsiBackEnd/UserService/userdata HTTP/1.1" 200 316
192.168.1.100 - - [18/Dec/2020:13:33:31 +0700] "POST /SkripsiBackEnd/RestaurantService/restaurantlistbyuser HTTP/1.1" 200 314500
192.168.1.100 - - [18/Dec/2020:13:33:31 +0700] "POST /SkripsiBackEnd/OrderService/ordernumbersbyuser HTTP/1.1" 200 105
192.168.1.100 - - [18/Dec/2020:13:33:32 +0700] "POST /SkripsiBackEnd/UtilityService/getvalue HTTP/1.1" 200 18490
192.168.1.100 - - [18/Dec/2020:13:36:14 +0700] "POST /SkripsiBackEnd/UserService/userdata HTTP/1.1" 200 316
192.168.1.100 - - [18/Dec/2020:13:36:14 +0700] "POST /SkripsiBackEnd/RestaurantService/restaurantlistbyuser HTTP/1.1" 200 314500
192.168.1.100 - - [18/Dec/2020:13:36:14 +0700] "POST /SkripsiBackEnd/OrderService/ordernumbersbyuser HTTP/1.1" 200 105
192.168.1.100 - - [18/Dec/2020:13:36:15 +0700] "POST /SkripsiBackEnd/UtilityService/getvalue HTTP/1.1" 200 18490
192.168.1.100 - - [18/Dec/2020:13:36:55 +0700] "POST /SkripsiBackEnd/UserService/userdata HTTP/1.1" 200 316
192.168.1.100 - - [18/Dec/2020:13:36:56 +0700] "POST /SkripsiBackEnd/RestaurantService/restaurantlistbyuser HTTP/1.1" 200 314500
192.168.1.100 - - [18/Dec/2020:13:36:56 +0700] "POST /SkripsiBackEnd/OrderService/ordernumbersbyuser HTTP/1.1" 200 105
192.168.1.100 - - [18/Dec/2020:13:36:56 +0700] "POST /SkripsiBackEnd/UtilityService/getvalue HTTP/1.1" 200 18490
192.168.1.100 - - [18/Dec/2020:13:37:00 +0700] "POST /SkripsiBackEnd/UserService/userdata HTTP/1.1" 200 316
192.168.1.100 - - [18/Dec/2020:13:37:00 +0700] "POST /SkripsiBackEnd/RestaurantService/restaurantlistbyuser HTTP/1.1" 200 314500
192.168.1.100 - - [18/Dec/2020:13:37:00 +0700] "POST /SkripsiBackEnd/OrderService/ordernumbersbyuser HTTP/1.1" 200 105
192.168.1.100 - - [18/Dec/2020:13:37:00 +0700] "POST /SkripsiBackEnd/UtilityService/getvalue HTTP/1.1" 200 18490
192.168.1.100 - - [18/Dec/2020:13:37:03 +0700] "POST /SkripsiBackEnd/UserService/userdata HTTP/1.1" 200 316
192.168.1.100 - - [18/Dec/2020:13:37:03 +0700] "POST /SkripsiBackEnd/RestaurantService/restaurantlistbyuser HTTP/1.1" 200 314500
