127.0.0.1 - - [14/Jan/2021:11:03:18 +0700] "GET / HTTP/1.1" 404 706
0:0:0:0:0:0:0:1 - - [14/Jan/2021:11:04:39 +0700] "POST /SkripsiBackEnd/OrderService/viewchat HTTP/1.1" 200 95
0:0:0:0:0:0:0:1 - - [14/Jan/2021:11:20:49 +0700] "POST /SkripsiBackEnd/OrderService/viewchat HTTP/1.1" 200 95
0:0:0:0:0:0:0:1 - - [14/Jan/2021:11:20:51 +0700] "POST /SkripsiBackEnd/OrderService/viewchat HTTP/1.1" 200 95
0:0:0:0:0:0:0:1 - - [14/Jan/2021:11:23:49 +0700] "POST /SkripsiBackEnd/OrderService/viewchat HTTP/1.1" 200 95
0:0:0:0:0:0:0:1 - - [14/Jan/2021:11:23:54 +0700] "POST /SkripsiBackEnd/OrderService/viewchat HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [14/Jan/2021:11:24:11 +0700] "POST /SkripsiBackEnd/OrderService/viewchat HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [14/Jan/2021:11:27:14 +0700] "POST /SkripsiBackEnd/OrderService/viewchat HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [14/Jan/2021:11:28:02 +0700] "POST /SkripsiBackEnd/OrderService/viewchat HTTP/1.1" 200 430
