127.0.0.1 - - [21/Dec/2020:10:53:17 +0700] "GET / HTTP/1.1" 404 706
95.214.53.156 - - [21/Dec/2020:11:12:20 +0700] "GET /scan.html HTTP/1.1" 404 715
192.168.1.100 - - [21/Dec/2020:11:29:51 +0700] "POST /SkripsiBackEnd/UserService/userdata HTTP/1.1" 200 316
192.168.1.100 - - [21/Dec/2020:11:29:51 +0700] "POST /SkripsiBackEnd/UserService/userdata HTTP/1.1" 200 316
106.52.212.175 - - [21/Dec/2020:11:32:05 +0700] "GET /login HTTP/1.0" 404 711
106.52.212.175 - - [21/Dec/2020:11:32:06 +0700] "GET /manager/html/ HTTP/1.0" 404 719
192.168.1.100 - - [21/Dec/2020:11:32:07 +0700] "POST /SkripsiBackEnd/UtilityService/getvalue HTTP/1.1" 200 18490
192.168.1.100 - - [21/Dec/2020:11:32:10 +0700] "POST /SkripsiBackEnd/RestaurantService/getlist HTTP/1.1" 200 353785
192.168.1.100 - - [21/Dec/2020:11:32:16 +0700] "POST /SkripsiBackEnd/UserService/userdata HTTP/1.1" 200 316
192.168.1.100 - - [21/Dec/2020:11:32:16 +0700] "POST /SkripsiBackEnd/RestaurantService/restaurantlistbyuser HTTP/1.1" 200 314500
192.168.1.100 - - [21/Dec/2020:11:32:17 +0700] "POST /SkripsiBackEnd/OrderService/ordernumbersbyuser HTTP/1.1" 200 105
192.168.1.100 - - [21/Dec/2020:11:32:17 +0700] "POST /SkripsiBackEnd/UtilityService/getvalue HTTP/1.1" 200 18490
85.119.151.251 - - [21/Dec/2020:11:46:32 +0700] "POST /azenv.php?s=VJVJVNOJIJNNVRTCPBNUTXNBTBUIYR HTTP/1.1" 404 715
85.119.151.253 - - [21/Dec/2020:11:46:37 +0700] "CONNECT 5.178.86.76:80 HTTP/1.1" 400 -
85.119.151.251 - - [21/Dec/2020:11:46:42 +0700] "-" 400 -
85.119.151.253 - - [21/Dec/2020:11:46:47 +0700] "-" 400 -
192.168.1.100 - - [21/Dec/2020:11:52:50 +0700] "POST /SkripsiBackEnd/UserService/userdata HTTP/1.1" 200 316
192.168.1.100 - - [21/Dec/2020:11:52:51 +0700] "POST /SkripsiBackEnd/OrderService/getlistordercustomer HTTP/1.1" 200 105
192.168.1.100 - - [21/Dec/2020:11:52:51 +0700] "POST /SkripsiBackEnd/UtilityService/getvalue HTTP/1.1" 200 18490
192.168.1.100 - - [21/Dec/2020:11:52:51 +0700] "POST /SkripsiBackEnd/UserService/userdata HTTP/1.1" 200 316
192.168.1.100 - - [21/Dec/2020:11:52:51 +0700] "POST /SkripsiBackEnd/RestaurantService/restaurantlistbyuser HTTP/1.1" 200 314500
192.168.1.100 - - [21/Dec/2020:11:52:51 +0700] "POST /SkripsiBackEnd/OrderService/ordernumbersbyuser HTTP/1.1" 200 105
192.168.1.100 - - [21/Dec/2020:11:52:51 +0700] "POST /SkripsiBackEnd/UtilityService/getvalue HTTP/1.1" 200 18490
192.168.1.100 - - [21/Dec/2020:11:52:54 +0700] "POST /SkripsiBackEnd/UserService/userdata HTTP/1.1" 200 316
192.168.1.100 - - [21/Dec/2020:11:52:54 +0700] "POST /SkripsiBackEnd/RestaurantService/restaurantlistbyuser HTTP/1.1" 200 314500
192.168.1.100 - - [21/Dec/2020:11:52:54 +0700] "POST /SkripsiBackEnd/OrderService/ordernumbersbyuser HTTP/1.1" 200 105
192.168.1.100 - - [21/Dec/2020:11:52:54 +0700] "POST /SkripsiBackEnd/UtilityService/getvalue HTTP/1.1" 200 18490
192.168.1.100 - - [21/Dec/2020:12:18:33 +0700] "POST /SkripsiBackEnd/UtilityService/getvalue HTTP/1.1" 200 18490
192.168.1.100 - - [21/Dec/2020:12:18:33 +0700] "POST /SkripsiBackEnd/RestaurantService/getlist HTTP/1.1" 200 353785
192.168.1.100 - - [21/Dec/2020:12:18:38 +0700] "POST /SkripsiBackEnd/UserService/userdata HTTP/1.1" 200 316
192.168.1.100 - - [21/Dec/2020:12:18:38 +0700] "POST /SkripsiBackEnd/RestaurantService/restaurantlistbyuser HTTP/1.1" 200 314500
192.168.1.100 - - [21/Dec/2020:12:18:38 +0700] "POST /SkripsiBackEnd/OrderService/ordernumbersbyuser HTTP/1.1" 200 105
192.168.1.100 - - [21/Dec/2020:12:18:38 +0700] "POST /SkripsiBackEnd/UtilityService/getvalue HTTP/1.1" 200 18490
192.168.1.100 - - [21/Dec/2020:12:18:44 +0700] "POST /SkripsiBackEnd/UserService/userdata HTTP/1.1" 200 316
192.168.1.100 - - [21/Dec/2020:12:18:44 +0700] "POST /SkripsiBackEnd/RestaurantService/restaurantlistbyuser HTTP/1.1" 200 314500
192.168.1.100 - - [21/Dec/2020:12:18:44 +0700] "POST /SkripsiBackEnd/OrderService/ordernumbersbyuser HTTP/1.1" 200 105
192.168.1.100 - - [21/Dec/2020:12:18:44 +0700] "POST /SkripsiBackEnd/UtilityService/getvalue HTTP/1.1" 200 18490
192.168.1.100 - - [21/Dec/2020:12:22:07 +0700] "POST /SkripsiBackEnd/UserService/userdata HTTP/1.1" 200 316
192.168.1.100 - - [21/Dec/2020:12:22:07 +0700] "POST /SkripsiBackEnd/RestaurantService/restaurantlistbyuser HTTP/1.1" 200 314500
